YY;MM;OD;PAX
2008;1;ANCSEA;97595
2008;1;ATLBOS;95578
2008;1;ATLBWI;95233
2008;1;ATLCLT;105980
2008;1;ATLDCA;116104
2008;1;ATLDEN;109966
2008;1;ATLDFW;148737
2008;1;ATLDTW;76700
2008;1;ATLFLL;186370
2008;1;ATLJAX;100087
2008;1;ATLLAS;124423
2008;1;ATLLAX;146658
2008;1;ATLLGA;161926
2008;1;ATLMCO;230552
2008;1;ATLMIA;129070
2008;1;ATLMSP;83307
2008;1;ATLMSY;80086
2008;1;ATLORD;101003
2008;1;ATLPBI;92109
2008;1;ATLPHL;113038
2008;1;ATLPHX;95924
2008;1;ATLRDU;78339
2008;1;ATLRSW;87293
2008;1;ATLSFO;69920
2008;1;ATLTPA;150868
2008;1;AUSDFW;94778
2008;1;BOSCLT;57886
2008;1;BOSDCA;54150
2008;1;BOSORD;81854
2008;1;BOSPHL;50723
2008;1;BOSSFO;53279
2008;1;CLTDFW;58459
2008;1;CLTLGA;69889
2008;1;CLTMCO;81075
2008;1;CLTORD;74150
2008;1;DALHOU;94681
2008;1;DCAORD;85066
2008;1;DENDFW;130645
2008;1;DENIAH;93107
2008;1;DENLAS;128211
2008;1;DENLAX;132922
2008;1;DENMSP;88835
2008;1;DENORD;116965
2008;1;DENPHX;142526
2008;1;DENSAN;67576
2008;1;DENSEA;92169
2008;1;DENSFO;84958
2008;1;DENSLC;109878
2008;1;DFWLAS;105978
2008;1;DFWLAX;133501
2008;1;DFWLGA;86661
2008;1;DFWMIA;83386
2008;1;DFWORD;138908
2008;1;DFWPHX;97863
2008;1;DFWSAT;87552
2008;1;DFWSFO;67495
2008;1;DTWMCO;109654
2008;1;EWRLAX;66499
2008;1;EWRMCO;123885
2008;1;EWRORD;92679
2008;1;EWRSFO;49238
2008;1;FLLLGA;122825
2008;1;HNLITO;109185
2008;1;HNLKOA;139022
2008;1;HNLLAX;168747
2008;1;HNLLIH;142148
2008;1;HNLOGG;193411
2008;1;IADLAX;92068
2008;1;IADSFO;64220
2008;1;IAHLAX;86856
2008;1;IAHORD;77048
2008;1;JFKLAX;175025
2008;1;JFKMCO;106668
2008;1;JFKSFO;131108
2008;1;JFKSJU;99916
2008;1;LASLAX;174177
2008;1;LASORD;105733
2008;1;LASPHX;138094
2008;1;LASSEA;92471
2008;1;LASSFO;127626
2008;1;LAXMIA;73498
2008;1;LAXORD;154069
2008;1;LAXPHX;119731
2008;1;LAXSEA;96284
2008;1;LAXSFO;197257
2008;1;LAXSJC;76853
2008;1;LGAMIA;78805
2008;1;LGAORD;149822
2008;1;MCOPHL;114115
2008;1;MSPORD;142554
2008;1;MSPPHX;100149
2008;1;ORDPHL;91905
2008;1;ORDPHX;101859
